name,locations
"Bozjan tormentor","Old Bozja"
"Bozjan wight","Old Bozja"
"Bozjan worm","Old Bozja"
"Bozjan wraith","Southern Entrenchment"
"brahmin ambusher","East End"
"branchbearer","The Cerulean Cexudross"
"Brawler","Machinery Bay 68;The Burden of the Son"
"breaking point","The Iron Womb"
"bright balloon","Alder Springs"
"brightsphere","The Quire;Singularity Reactor"
"brightwisp","Everschade"
"brilliant starmite","The Perfumed Rise"
"brine","Sastasha (Hard)"
"broken Omicron","Ostrakon Deka-hexi"
"broken thaumaturge","Raincatcher Gully"
"broken viking","The Central Circuit"
"Brontes","Central Thanalan"
"brontotaur","Second Floor (Amdapor Keep)"
"bronze beetle","The Wanderer's Palace"
"bronze buzzard","The Wanderer's Palace"
"bronze pugil","The Wanderer's Palace (Hard)"
"brood ziz","Sorrel Haven"
"brotherly gil turtle","Blue Sky"
"Brounger","Iron Lake"
"brownie","Yesterland"
"brutal almasty","The Eblan Rime"
"Brute Justice","The Burden of the Son"
"brutish imp","The Footfalls"
"Bubbly Bernie","The Footfalls"
"Buccaboo","The Peaks"
"budding morbol","The Tangle"
"bull archaeosaur","Eil Tohm"
"bull chocobo","Chocobo Forest"
"bull dhalmel","Last Step"
"Bune","The Churning Mists"
"Burfurlur the Canny","Labyrinthos"
"burning anala","The Central Circuit"
"burning star","Neurolink Nacelle"
"burrowing t'ohts'on","Village of Ilyon Asoh"
"burrowing wamoura","Tharl Oom Khash"
"burrowing wamouracampa","Tharl Oom Khash"
"Buso","Lower La Noscea"
"butcher basilisk","Bluefog"
"buzzing djigga","Nine Ivies"
"buzzsaw","The Excruciationator"
"Byblos","Astrology and Astromancy Camera"
"bygone alpha sentry","Royal Portal"
"bygone electrohound","Royal Portal"
"bygone roadripper","The Underkeep (Zone)"
"bygone terror knight","Grand Hall (The Underkeep);The Underkeep (Zone)"
"cacophony","Cutter's Cry (Zone);The Weeping Saint"
"cactuar","Hammerlea;The Eighty Sins of Sasamo"
"Cactuar Jack","Hammerlea"
"caladrius","Magitek Snowcraft"
"caladrius maturus","Magitek Snowcraft"
"Calcabrina","Where All Witness"
"Callisto","The Orchard"
"Calofisteri","Tomb of the Nullstone"
"Campacti","Azys Lla"
"camptotaur","The Sunken Temple of Qarn (Hard) (Zone)"
"canal achamoth","The Second Sluice"
"canal anala","The Fifth Sluice"
"canal arachne","The Fourth Sluice"
"canal banemite","The Fourth Sluice"
"canal bloodglider","The Second Sluice"
"canal bomb","The Fifth Sluice"
"canal bombfish","The Third Sluice"
"canal cardian","The Second Sluice"
"canal chuluu","The Fourth Sluice"
"canal coralshell","The Third Sluice"
"canal dhalmel","The Third Sluice"
"canal dhruva","The Second Sluice"
"canal diremite","The Fourth Sluice"
"canal drake","The Fifth Sluice"
"canal fan","The Second Sluice;The Fourth Sluice"
"canal fluturini","The First Sluice"
"canal gagana","The Third Sluice"
"canal halgai","The First Sluice"
"canal hanya","The Fifth Sluice"
"canal hippomaritimus","The Third Sluice"
"canal kiyofusa","The Fifth Sluice"
"canal kongamato","The Second Sluice"
"canal marid","The Third Sluice"
"canal Matanga","The Sixth Sluice"
"canal minotaur","The Sixth Sluice"
"canal monk","The Third Sluice"
"canal muud suud","The Sixth Sluice"
"canal ogre","The Fifth Sluice"
"canal onmitsu","The Fifth Sluice"
"canal sasquatch","The Third Sluice"
"canal sheep","The First Sluice"
"canal tengu","The Fifth Sluice"
"canal urolith","The Fourth Sluice"
"canal vanara","The Sixth Sluice"
"Cancer","Bloodshore"
"cane toad","Moraby Bay"
"canis lupinus","The Eblan Rime"
"canis perdito","Bittermill"
"canis pugnax","Regio Urbanissima"
"cankerous gobbet","Amdapor Keep (Hard) (Zone)"
"canyon bat","Yowekwa Canyon"
"canyon condor","The Wet Sands"
"canyon dzo","The Rise of Bardam the Brash"
"Capricious Cassie","Larkscall"
"Captain Madison","The First Rambade;The Second Rambade"
"Captain Mogsun","Unsevered Despair"
"captain's leech","Sastasha (Hard)"
"captain's slave","Sastasha (Hard)"
"caracal","Mjrl's Regret"
"cardian","Flurry"
"caribou","The Outer Circuit"
"Carmilla","Blue Sky"
"carmine wamouracampa","The Temple of the Fist (Zone)"
"carpet stain","Ground Floor (Haukke Manor)"
"carrier ladybug","Moraby Bay;Lifemend Stump;Jadeite Thick;Nine Ivies"
"carrier ziz","The Left Brattice;Stone Vigil"
"carrion beetle","The Tam-Tara Deepcroft"
"carrion chigoe","Jadeite Thick;Bentbranch"
"carrion griffin","The Garden of Despite"
"Catastrophe","The Dungeons"
"cathedral gargoyle","The Vault"
"catoblepas","Halatali (Hard) (Zone)"
"Cat's Eye","Living Memory"
"cauahealoa","East Yyasulani"
"cauahepya","East Yyasulani"
"caustic Grebuloff","Shell Mound"
"cave aurelia","Sastasha"
"cave crab","Sastasha (Hard)"
"cave gelatin","Wandering Well"
"cave glowfly","Cave Kikitola"
"Caym","Klauser's Peace"
"cell mite","The Thousand Maws of Toto-Rak"
"centaur","Where Minds Toil;Where Souls Rest"
"center anala","The Central Circuit"
"center anila","The Central Circuit"
"center apa","The Central Circuit"
"center dhara","The Central Circuit"
"center prabhasa","The Central Circuit"
"center soma","The Central Circuit"
"Cepheus","Moraby Bay"
"ceratoraptor","Pyariyoanaan Plain"
"cermet blast door","Magitek Research"
"cermet bulkhead","Central Hall"
"cermet coblyn","The Keeper of the Lake (Zone)"
"cerule anala","Eshceyaani Wilds"
"cerule bomb","Yawtanane Grasslands"
"cerule rheum","Yawtanane Grasslands"
"ceruleum coblyn","Camp Bluefog"
"ceruleum servant","Neurolink Nacelle"
"ceruleum zoblyn","Cerulea Ingens;Regio Urbanissima"
"Ceto","The East Val River Bank"
"Cetus","The Beast"
"chalcopyrite coblyn","Copperbell Mines (Hard) (Zone)"
"chamrosh","The Perfumed Rise"
"Chaos","The Chaos Shrine"
"chaosphere","The Chaos Shrine"
"chapuli","The Last Forest"
"charged bolt hound","The Thunderyards;East Yyasulani"
"charging gaja","Saltwind's Welcome"
"charging hog","Greentear"
"charging swine","Cleric"
"charmed captain","The Ship Graveyard"
"charmed falmadair","The Ship Graveyard"
"charred coblyn","The Bore"
"charred doblyn","The Bore"
"charred dreadnaught","Imperial Mineshaft"
"charred droid","Imperial Mineshaft"
"charred drone","Imperial Mineshaft"
"charred luminare","The Bleached Shelf;The Blacklands"
"charred paladin","Imperial Mineshaft"
"chary harrier","Snowcloak (Zone)"
"chasm cobra","The Wishbone"
"chasm harpeia","The Wishbone"
"chelone","Loch Seld;The High Bank"
"Chernobog","Outer La Noscea"
"Chieftain Moglin","Unsevered Despair"
"chigoe","Greentear;Jadeite Thick;Issom-Har;The Tangle"
"Child of the Everlasting Dark","The Citia Swamps"
"Chiliad cama","The Stay"
"chimera","The Blue Sands"
"Chirada","The Howling Eye (Zone)"
"Chirwagur sabreur","Chirwagur Saltern"
"chokeshin","Floor 20 (Heaven-on-High)"
"Chopper","Sastasha"
"Chukwa","The High Bank"
"churn","Shisui Gokagura"
"Cieldalaes crawler","Hullbreaker Isle"
"Cieldalaes hornet","Hullbreaker Isle (Zone)"
"Cieldalaes mantis","Hullbreaker Isle"
"Cindersoot Pegujj Chah","Zanr'ak Altar"
"Cinduruva","Wisdom's Ward"
"circling condor","Amdapor Keep (Hard)"
"claster","Main Generators"
"Clawtrap Alzadaal XIV","The Arrapago Remnants"
"clay claw","Strategeion - 4F"
"clay golem","Woad Whisper Canyon;Spirithold;Sil'dih Excavation Site;Alder Springs"
"clearwater nanka","Whilom River"
"clever hedgemole","Cedarwood"
"clever little ray","Hells' Lid (Landmark)"
"cliffdiver","Raincatcher Gully"
"cliffkite","Scree"
"cliffmole","The Duergar Mountains"
"Clingy Clare","The Alermuc Climb"
"clionid","The Norvrandt Slope"
"clockwork alarum","Reality Augmentation Bay"
"clockwork avenger","Automachina Research"
"clockwork bug","Ragnarok Drive Cylinder;Central Decks"
"clockwork dreadnaught","Whitebrim;Providence Point;The Binding Coil of Bahamut - Turn 4"
"clockwork engineer","Alpha Quadrant"
"clockwork footman","Sector VII (Second Coil)"
"clockwork harvestman","Alpha Quadrant"
"clockwork hunter","Automachina Research"
"clockwork knight","The Binding Coil of Bahamut - Turn 4"
"clockwork paladin","Alpha Quadrant"
"clockwork predator","Violet Ward;Crimson Ward;Emerald Ward"
"clockwork repurposer","Main Portal;Automachina Research"
"clockwork reservoir","Crimson Ward;Emerald Ward"
"clockwork soldier","The Binding Coil of Bahamut - Turn 4"
"clockwork spider","Bioweapon Sector VII"
"clockwork squire","Syrcus Tower"
"clockwork warrior","Central Decks"
"clockwork wright","Syrcus Tower"
"cloning node","Eureka Orthos"
"cloud aevis","Greensward"
"cloud chaser","Aery Exterior"
"cloud gardener","An Answer of Sorrow;Sudden Torment"
"cloud wyvern","Four Arms"
"cloudlarker","Sterncastle Deck"
"cloudtop tsanahale","Last Step"
"cloudworm","The Sea of Clouds"
"clown wraith","The Phantoms' Feast (Zone)"
"cluster mantis","Red Mantis Falls"
"clutch pelican","Raincatcher Gully"
"coastal mandragora","Bloodshore;Raincatcher Gully"
"cobalt ember","The Ring of Fire"
"cochineal cactuar","Black Brush;The Quiveron Manse"
"cockatrice","The Ruling Quarter"
"codpiece clipper","The Keeper of the Lake (Zone)"
"coelurosaur","Weathering"
"coeurl","The Long Climb"
"Coeurl o' Nine Tails","The Thousand Maws of Toto-Rak"
"coeurl prana","The Temple of the Fist (Zone)"
"coeurl smriti","The Temple of the Fist (Zone)"
"coeurl sruti","The Temple of the Fist (Zone)"
"Coeurlclaw falconer","Silent Arbor"
"Coeurlregina","Chocobo Forest;The Dravanian Forelands"
"cog oil","The Wanderer's Palace"
"Coincounter","The Aurum Vale"
"coldwater tursus","Riversmeet"
"coldwind bateleur","Coerthas Western Highlands;Gorgagne Holding"
"Coliseum lemur","Halatali (Hard) (Zone)"
"Coliseum python","Halatali"
"collapsed rock","Copperbell Mines (Hard) (Zone)"
"combat wivre","The Wanderer's Palace (Hard)"
"comesmite","The Thousand Maws of Toto-Rak"
"comet chaser","Brayflox's Longstop"
"Comet circle","Singularity Reactor"
"Compound 2P","Bridge"
"concubinus","Drybone;North Silvertear"
"condor","Rootslake"
"conflagration","| Duty         ="
"congealed blood","Haukke Manor (Hard)"
"conodont","Voor Sian Siran"
"continuum conservator","High-level Incubation Bay"
"Copperbell coblyn","Copperbell Mines"
"Copperbell nix","Copperbell Mines (Hard) (Zone)"
"Coquecigrue","Kholusia"
"Coral Sahagin","Open Sea - Pirate Vessel"
"coralshell","Rasen Kaikyo"
"cork bulb","Raincatcher Gully"
"Cornu","Outer La Noscea"
"Corpse Brigade firedancer","Broken Water;The Sepulchre"
"Corpse Brigade footsoldier","Wellwick Wood"
"Corpse Brigade knuckledancer","Broken Water;The Sepulchre"
"Corpse Brigade pikedancer","Broken Water"
"Corpse Brigade pugilist","The Striped Hills"
"corpse flower","Beta Quadrant"
"corpsecleaner eagle","The Voiceless Muse"
"corpsefly","Cellarage"
"corrupted aether","Camp Bronze Lake"
"corrupted flan","Fifth and Fourth Levels"
"corrupted gel","Second Spire"
"corrupted imperial","Regio Urbanissima"
"corrupted Nymian","The Wanderer's Palace"
"corrupted Nymian curate","The Long Hall"
"corrupted pudding","Pharos Sirius (Zone)"
"corrupted slime","Pharos Sirius (Zone);Fifth and Fourth Levels"
"corrupted sprite","Pharos Sirius (Zone);Aether Compressor;Northwestern Pavilion;Northeastern Pavilion;Southwestern Pavilion;Southeastern Pavilion"
"corrupted wolf","Aether Compressor"
"corruption","Fifth and Fourth Levels;Fuel Chamber"
"courser chocobo","Chocobo Forest"
"cracked ice sprite","Twinpools"
"cracked Qarn facer","The Sunken Temple of Qarn (Hard) (Zone)"
"cracked Ronkan doll","The K'mul Astropolis"
"cracked Ronkan thorn","The Morning Stars"
"cracked Ronkan vessel","The K'mul Astropolis"
"crag claw","Rustrock"
"cragbite peiste","The Red Labyrinth"
"craklaw","The Teeth"
"crater golem","Spriggan Dig"
"craven condor","Bloodshore;Rootslake"
"Crawling Death","Shadowed City"
"crazed archelon","Costa del Sol"
"crazed dhalmel","Last Step"
"crazed sprite","Costa del Sol"
"creeping chigoe","Proud Creek"
"Creeping Edila","The Queen's Gardens"
"crescent aetherscab","Crystallized Caverns"
"crescent apa","The Wanderer's Haven"
"crescent armor","Southdown Heath;Heathcliff"
"crescent bachelor","Shadowed City"
"crescent bandersnatch","Southdown Heath"
"crescent blackguard","Shadowed City"
"crescent bomb","Southdown Heath;Lost Citadel;Vanishing Slope;Heathcliff;Eldergrowth;Shadowed City;The Wanderer's Haven;Crystallized Caverns;Abandoned Ascent"
"crescent Byblos","Crystallized Caverns"
"crescent caoineag","Vanishing Slope;The Wanderer's Haven"
"crescent catoblepas","Heathcliff"
"crescent Cetus","Vanishing Slope"
"crescent chimera","Abandoned Ascent"
"crescent claw","Stonemarsh"
"crescent collagen","Stonemarsh"
"crescent dhruva","Southdown Heath;Lost Citadel;The Wanderer's Haven;Heathcliff;Shadowed City;Abandoned Ascent;Crystallized Caverns"
"crescent dullahan","Abandoned Ascent"
"crescent echos","Eldergrowth"
"crescent fan","Lost Citadel"
"crescent flame","The Wanderer's Haven"
"crescent flying lizard","Southdown Heath"
"crescent fool","Abandoned Ascent"
"crescent Garula","Southdown Heath;Heathcliff"
"crescent geshunpest","Crystallized Caverns"
"crescent ghost","Lost Citadel"
"crescent golem","The Wanderer's Haven"
"crescent goobbue","Vanishing Slope;Heathcliff"
"crescent gourmand","Stonemarsh;Abandoned Ascent"
"crescent haagenti","Crystallized Caverns"
"crescent harpuia","Vanishing Slope;Heathcliff"
"crescent headstone","Shadowed City;Heathcliff"
"crescent inkstain","Abandoned Ascent"
"crescent leshy","Southdown Heath"
"crescent marolith","Lost Citadel"
"crescent meraevis","Heathcliff"
"crescent mimic","Southdown Heath;Lost Citadel;The Wanderer's Haven;Heathcliff;Crystallized Caverns;Stonemarsh;Shadowed City;Abandoned Ascent"
"crescent monk","Shadowed City"
"crescent mousse","Southdown Heath;Lost Citadel;The Wanderer's Haven;Heathcliff;Shadowed City;Stonemarsh;Abandoned Ascent"
"crescent rosebear","Heathcliff"
"crescent satana","Abandoned Ascent"
"crescent taurus","Crystallized Caverns;Heathcliff"
"crescent triceratops","Heathcliff"
"crescent troubadour","Eldergrowth;Shadowed City;Lost Citadel"
"crescent void viper","Stonemarsh"
"crescent zaghnal","The Wanderer's Haven"
"crescent zangbeto","Crystallized Caverns"
"crescent zirnitra","Abandoned Ascent"
"Crier Briareos","The Footfalls"
"crimson ember","The Ring of Fire"
"crimson nail","Sagolii Desert"
"critical bug","Automachina Research"
"Croakadile","Lower La Noscea"
"croftlight","The Tam-Tara Deepcroft"
"Crom Dubh","Blue Sky"
"Cronos","North Silvertear"
"Croque-mitaine","Middle La Noscea"
"crossing bateleur","Griffin Crossing (Zone)"
"crossing hippocerf","Griffin Crossing (Zone)"
"Cruise Chaser","Main Generators"
"crystal bearer","Spriggan Dig"
"crystal claw","The East Val River Bank"
"crystal incarnation","Kozama'uka;Urqopacha;Yak T'el;Shaaloani;Heritage Found;Living Memory"
"crystal wolf","Heartbreak Holt"
"Cuachac","Moraby Bay"
"cubus","Amaurot (Area)"
"Cuca Fera","The Stone Vigil (Hard) (Zone)"
"Cuchulainn","Conversion Chamber"
"Cuelebre","Four Arms"
"cultivated morbol seedling","The Perfumed Rise"
"cultured bowyer","Incubation Bay VII"
"cultured chimera","Incubation Bay VIII"
"cultured cobra","Incubation Bay VII"
"cultured dancer","Incubation Bay VII"
"cultured empuse","Incubation Bay VII"
"cultured mirrorknight","Incubation Bay VIII"
"cultured naga","Incubation Bay VII"
"cultured reptoid","Incubation Bay VIII"
"cultured shabti","Triad Control"
"cunning bhujamga","The Shroud of the Samgha"
"cursed eye","Pools of Oblivion"
"cursed weapon","Kelk"
"Curupira","Peacegarden"
"cyan tentacle","Undersea Entrance"
"cyclomedusa","Hullbreaker Isle"
"Dadaluma","Lower Tower of Ruin"
"Daddy Longlegs","Parata's Peace"
"Daedalus","Proud Creek"
"dagon","The Norvrandt Slope"
"dahu","The Hall of Supplication"
"Daidarabotchi","The Dragon's Mouth"
"daimyo yumemi","Rasen Kaikyo"
"Dáinsleif","The Alermuc Climb"
"Daivadipa","Jnanamandapa"
"Dalamud spawn","The Holocharts"
"Dalvag's Final Flame","Northern Thanalan"
"damaged adjudicator","The Sunken Temple of Qarn (Hard) (Zone)"
"damantus","Hall of the Bestiarii"
"danbania","The Caliban Gap"
"dancing bear","The Temple of the Fist (Zone)"
"dancing marionette","The Bleached Shelf"
"dancing weapon","The Central Hills of Amber"
"Dantalion","The Tam-Tara Deepcroft (Hard)"
"Daphne","The West Val River Bank"
"daphnia","Northern Mare Lamentorum"
"daphnia magna","Mare Lamentorum"
"dark aether isten","The Chrysalis (Zone)"
"dark aether salas","The Chrysalis (Zone)"
"dark aether sina","The Chrysalis (Zone)"
"dark brown bear","Chocobo Forest"
"dark clay beast","The Pauper's Lode"
"dark cloud","Unstifled Prayer"
"dark crystal","The Chaos Shrine"
"dark gaelicat","The West Val River Bank"
"dark gargoyle","The East Val River Bank"
"Dark General","Syrcus Tower"
"Dark Helmet","Western La Noscea"
"dark helot","The Presence Chamber (Amdapor Keep)"
"dark levin crystal","Tharl Oom Khash"
"dark matter aurelia","The Binding Coil of Bahamut - Turn 3"
"dark matter bulb","Scar's Edge"
"dark matter coeurl","Aetheroacoustic Exploratory Site"
"dark matter golem","Aetheroacoustic Exploratory Site;The Binding Coil of Bahamut - Turn 3"
"dark matter hornet","Scar's Edge"
"dark matter mantis","Aetheroacoustic Exploratory Site;The Binding Coil of Bahamut - Turn 3"
"dark matter pelican","Aetheroacoustic Exploratory Site"
"dark matter pteroc","Aetheroacoustic Exploratory Site"
"dark matter pugil","Aetheroacoustic Exploratory Site"
"dark matter roselet","The Golem Trail"
"dark matter slime","Allagan Megastructure;Bioweapon Sector VII"
"dark matter slug","The Binding Coil of Bahamut - Turn 3;Scar's Edge"
"dark parthenope","West Flamerock"
"dark plasma","Nald's Reflection;Whitebrim Front"
"dark rider","The West Val River Bank"
"dark sphere","The Iron Womb"
"dark sprite","Whitebrim Front;Four Arms"
"dark troubadour","Southwestern Ice Needles;West Flamerock"
"dark void monk","The East Val River Bank"
"Darkscale","Ohl Tahn;Tharl Oom Khash"
"darner","The Orchard"
"dastardly devilet","The Lost City of Amdapor (Zone)"
"daughter of Glaukopis","East Flamerock"
"daughter of Imdugud","Alpha Concourse"
"dawn knight","The Chancel"
"Daxio of the Dawn","Goldleaf Dais"
"Daybreakers axeslinger","Tonatenyawi"
"Daybreakers gunslinger","Tonatenyawi"
"Daybreakers swordslinger","Tonatenyawi"
"dazzling bomb","U'Ghamaro Mines"
"Deacon","The Tempest"
"deadly draco","The Forest of the Lost Shepherd"
"death claw","The Sunken Temple of Qarn"
"death jacket","The Orchard"
"death mask","The Val River Swale"
"death sprite","The Val River Swale;The West Val River Bank"
"debitage","The Central Hills of Amber"
"debris","Paglth'an (Zone)"
"decaying gourmand","The Lost City of Amdapor (Zone)"
"deep earth aether","The Queen's Room"
"deep jungle coeurl","Brayflox's Longstop;Brayflox's Longstop (Hard)"
"deep jungle torama","Brayflox's Longstop (Hard) (Zone)"
"deep palace gargoyle","Floor 141 (Palace of the Dead)"
"deepblack rune","Four Arms"
"Deepcroft miteling","The Tam-Tara Deepcroft"
"deepgrey hippocerf","Chocobo Forest"
"deep-sea leech","The Norvrandt Slope"
"deepvoid deathmouse","Snakemolt"
"deepvoid devilet","Eastern Thanalan"
"deepvoid eye","South Shroud"
"deepvoid planebreaker","Coerthas Western Highlands"
"deepvoid scamp","Sagolii Desert"
"deepvoid slave","Feasting Hall"
"deepvoid sludge","Coerthas Western Highlands"
"defective caretaker","Greatest Endsvale"
"defective drone","The Gamma Segregate"
"defective Ronkan thorn","The Great Pyramid of Ux'ner"
"defective scraper","The Carrotorium"
"defective sentry G8","Electric Potential"
